Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
869.4,-1008,90.314,0.0799386,8.0232,-5.93355e-05,0.000135411,8.0232,0.613458,-0.0291086
882,-1008,90.314,0.0799368,8.02318,-4.14362e-05,0.000121606,8.02318,0.61343,-0.0288532
894.623,-1008,90.314,0.079935,8.02316,-2.40542e-05,0.000108198,8.02316,0.613402,-0.0285745
908.872,-1008,90.314,0.079933,8.02314,-5.33769e-06,9.33664e-05,8.02314,0.613371,-0.0282553
924.957,-1008,90.314,0.0799308,8.02312,1.40733e-05,7.78844e-05,8.02312,0.613337,-0.0278763
943.114,-1008,90.314,0.0799282,8.02309,3.56846e-05,5.97361e-05,8.02309,0.613298,-0.0274304
963.611,-1008,90.314,0.0799254,8.02305,5.70598e-05,4.22126e-05,8.02305,0.613255,-0.0268983
986.748,-1008,90.314,0.0799222,8.02301,8.12342e-05,2.15921e-05,8.02301,0.613206,-0.0262824
1012.87,-1008,90.314,0.0799187,8.02296,0.000104113,1.08887e-06,8.02296,0.613152,-0.0255517
1042.35,-1008,90.314,0.0799147,8.0229,0.000130481,-2.03609e-05,8.0229,0.613091,-0.0247076
1075.63,-1008,90.314,0.0799103,8.02284,0.000153597,-4.36943e-05,8.02284,0.613023,-0.023728
1113.2,-1008,90.314,0.0799054,8.02276,0.000179974,-6.37019e-05,8.02276,0.612948,-0.0226096
1155.61,-1008,90.314,0.0798999,8.02268,0.000199701,-9.56206e-05,8.02268,0.612864,-0.0214156
1203.49,-1008,90.314,0.0798939,8.02257,0.000211405,-0.000156973,8.02257,0.612771,-0.0199389
1257.53,-1008,90.314,0.0798873,8.02243,0.000228977,-0.000168266,8.02243,0.61267,-0.0179299
1318.54,-1008,90.314,0.0798801,8.02231,0.000260185,-0.000171273,8.02231,0.612559,-0.015968
1387.4,-1008,90.314,0.0798722,8.02218,0.000268133,-0.00019471,8.02218,0.612438,-0.0139347
1465.14,-1008,90.314,0.0798636,8.02204,0.000278534,-0.000212514,8.02204,0.612307,-0.0115653
1552.89,-1008,90.314,0.0798544,8.02188,0.000275503,-0.000236162,8.02188,0.612165,-0.00909015
1651.95,-1008,90.314,0.079845,8.02174,0.000272123,-0.000246764,8.02174,0.612022,-0.0061174
1763.77,-1008,90.314,0.0798322,8.02156,0.000295146,-0.000255763,8.02156,0.611826,-0.00334168
1890,-1008,90.314,0.0798239,8.02142,0.000288519,-0.000250451,8.02142,0.611698,0
-1260,-857.51,90.314,0.0800919,8.00313,0,0,8.00313,0.615812,0.136017
